Person Title,Person Buyer Segment,sub_category,broad_category
Google Security Operations Analyst,Security End User,Google Security Operations,Security End User
jr Product Manager,Product Decision Maker,Jr Product Manager,Product End User
Engineer,Technology End User,Engineer,Technology End User
Cloud Engineer,Technology End User,Cloud Engineer,Technology End User
Founder | Lead Product And Growth,Product End User,Founder | Lead Product And Growth,Product End User
社会创新,Junk/Invalid,,
Lecturer,Industry LOB - Edu End User,Ai Lecturer,Data End User
Software Engineer,Technology End User,Software Engineer,Technology End User
Regional Sales Director,Sales Decision Maker,Regional Sales Director - Bc Tirelink,Information Decision Maker
Cloud Engineer,Technology End User,Cloud Engineer,Technology End User
Senior Software Engineer,Technology End User,Senior Software Engineer,Technology End User
AI Engineer,Technology End User,Ai Engineer,Technology End User
Elections,Junk/Invalid,Elections Engineers,Technology End User
Full Stack developer,Technology End User,Full Stack Developer,Technology End User
Deputy General Manager,Other End User,Deputy Executive General Manager,Information Decision Maker
DevOps Engineer,Technology End User,Devops Engineer,Technology End User
Software Developer,Technology End User,Software Developer,Technology End User
Product Lead,Product End User,Product Lead,Product End User
Owner,Other Decision Maker,Owner Operator,Operations End User
Software Engineer,Technology End User,Software Engineer,Technology End User
PRE-DISPATCHED ENGINEER,Technology End User,Pre-Dispatched Engineer,Technology End User
"Data Science Intern, Ex- Webdev,QA",Data End User,"Data Science Intern, Ex- Webdev,Qa",Data End User
Data engineer,Technology End User,Data Engineer,Technology End User
Manager,Other Decision Maker,Manager,Technology End User
Founder,Other Decision Maker,Founder,Technology End User
Developer,Technology End User,Developer,Technology End User
Founder,Other Decision Maker,Founder,Technology End User
DevOps Engineer,Technology End User,Devops Engineer,Technology End User
RPA Developer,Technology End User,Rpa Developer,Technology End User
Senior Software Engineer,Technology End User,Senior Software Engineer,Technology End User
Manager,Other End User,Manager,Technology End User
sales,Sales End User,"""Consultant, Sales Operations""",Information End User
Pritam Debbarma,Junk/Invalid,,
government,Junk/Invalid,"""Team Lead, Government Product""",Product End User
Data Engineer,Technology End User,Data Engineer,Technology End User
Software Engineer,Technology End User,Software Engineer,Technology End User
Data Driven Insigh Analyst,Data End User,Data Driven Insigh Analyst,Data End User
Founder,Other Decision Maker,Founder,Technology End User
Software Engineer,Technology End User,Software Engineer,Technology End User
Research,Other End User,Research,Technology End User
